"Id","R","Nome","Squadra","Qt"
80,"D","IBANEZ","Roma",9
81,"D","RODRIGUEZ R.","Torino",9
82,"D","STRYGER LARSEN","Udinese",9
83,"D","PEZZELLA GER.","Fiorentina",10
84,"D","MANCINI","Roma",10
85,"D","SPINAZZOLA","Roma",10
86,"D","IZZO","Torino",10
87,"D","KUMBULLA","Roma",10
88,"D","HATEBOER","Atalanta",11
89,"D","CHIELLINI","Juventus",11
90,"D","N'KOULOU","Torino",11
91,"D","TOLOI","Atalanta",12
92,"D","BASTONI","Inter",12
93,"D","YOUNG","Inter",12
94,"D","ALEX SANDRO","Juventus",12
95,"D","DI LORENZO","Napoli",12
96,"D","BONUCCI","Juventus",13
97,"D","CUADRADO","Juventus",13
98,"D","ROMAGNOLI","Milan",13
99,"D","MANOLAS","Napoli",13
100,"D","MILENKOVIC","Fiorentina",14
101,"D","CRISCITO","Genoa",14
102,"D","KOULIBALY","Napoli",14
103,"D","KOLAROV","Inter",14
104,"D","FARAONI","Verona",14
105,"D","DE VRIJ","Inter",15
106,"D","DE LIGT","Juventus",15
107,"D","ACERBI","Lazio",15
108,"D","HAKIMI","Inter",20
109,"D","HERNANDEZ T.","Milan",21
110,"D","GOSENS","Atalanta",24
1,"P","CORDAZ","Crotone",6
2,"P","ZOET","Spezia",6
3,"P","MONTIPO'","Benevento",7
4,"P","SKORUPSKI","Bologna",8
5,"P","MERET","Napoli",8
6,"P","OSPINA","Napoli",8
7,"P","AUDERO","Sampdoria",8
8,"P","PERIN","Genoa",8
9,"P","SEPE","Parma",9
10,"P","CONSIGLI","Sassuolo",10
11,"P","CRAGNO","Cagliari",11
12,"P","SIRIGU","Torino",11
13,"P","MUSSO","Udinese",11
14,"P","SILVESTRI","Verona",11
15,"P","DRAGOWSKI","Fiorentina",12
16,"P","GOLLINI","Atalanta",13
17,"P","PAU LOPEZ","Roma",13
18,"P","STRAKOSHA","Lazio",15
19,"P","DONNARUMMA G.","Milan",16
20,"P","SZCZESNY","Juventus",17
21,"P","HANDANOVIC","Inter",18
